path,text
segment_audio\09_01_004289_210914_SD_seg000.wav,제가 좀 전에 (5)/(오) 곱하기 (6)/(육)을 (30)/(삼 십)이 아니라 (60)/(육 십)이라고 생각을 했거든요. 진짜 제가 뇌를 종종 빼고 다니기는 하는데 정말 아 뇌가 완전히 빠져서 지금 뇌를 집에다가 두고 온 게 아닐지 이런 생각이 들고 참. 저도 참 뭔지 모르겠네요. 혼란스러워요.
segment_audio\09_01_004289_210914_SD_seg001.wav,그러니까요. 아까 유리 씨 데리고 올 때 그 뇌도 같이 데리고 왔어야 되는데 그거 거기다 두고 온 게 한스럽네요. 오늘 와서 일단 혀 꼬이고 잘 못 걷고 지금 컨디션이 너무 안 좋은 것 같은데 또 어떻게 일은 그렇게 하겠다고 바득바득 우기고 참 건강 안 챙기는 참 귀엽고 좋은 친구 같아요.
segment_audio\09_01_004289_210914_SD_seg002.wav,그러면서 나한테 잔소리를 그렇게 해대니 지금 저는 굉장히 건강한 상태거든요. 그래서 참 이해를 못하겠네요. 아무튼 제일 지금 걱정이 되는 건 유리 씨의 혀가 움직이지 않는다는 점입니다. 나도 처음 이런 사태를 느껴봐서 말을 많이 해서 그런 건 아닌 것 같고. 왜냐하면 기본적으로 유리 씨가 말이 굉장히 많잖아요. 근데 여태까지 그런 걸 못 느껴봤으면 진짜 알러지 반응이 아닐까 싶은데. 오늘 우리 뭐 먹었죠?
segment_audio\09_01_004289_210914_SD_seg003.wav,오늘 우리 샌드위치 먹었는데. 그 샌드위치에 알러지 있는 거는 없었거든요. 제가 그거 샌드위치 안에 들어가는 것들 고를 때 제가 알러지 조금이라도 날 수 있는 것들은 다 뺐거든요. 토마토 알러지 나서 뺐죠. 그거 말고 다른 채소들은 알러지가 종종 나지는 않지만 그게 맵고 못 먹어서 뺐는데 지금 생각해 보니까 과일 알러지가 굉장히 많이 나는데 올리브도 과일이잖아요. 그래서 그 올리브 때문이 아닐까 하는 생각도 드는데. 근데 보통.
segment_audio\09_01_004289_210914_SD_seg004.wav,"알러지가 나면은 이렇게 혀가 꼬이지 않고 그냥 입 안이 다 간지러워지고 입 안이 부어오르고 그러거든요. 입술도 엄청 부어오르고요. 근데 그런 거 그것도 아니고. 해서 이게 뭘까 싶고. 지금 제 컨디션이 안 좋은 거는 약 기운 때문일지 뭐 때문일지는 잘 모르겠고요. 지금 약을 먹어서 굉장히 비몽사몽한 상태이기도 하고 그리고 네, 잘 모르겠네요."
segment_audio\09_01_004289_210914_SD_seg005.wav,"그런데 저는 제가 알고 있는 친구 중에 아마 이게 굉장히 합리적 의심이 될 수 있는 게 그 친구가 땅콩에 알레르기가 있거든요. 근데 땅콩을 그때 피넛버터를, 샌드위치를 먹었는데 그거를 자기가 일부러 먹은 게 아니고 그냥 옆에 있는 걸 모르고 주워 먹었는데 그 양이 많지가 않아서 그 친구가 비슷한 걸 호소했던 것 같은 게 말을 일단 잘 못하더라고요. 혀가 좀 부어가지고 부어오른다고 하면서 혀랑 편도선이 있는 부분이 굉장히 붓더라고요. 그래서 그 친구가 말을 잘 못하는 것 같은데 지금 아주 작은 미세한 양의 토마토가 들어갔다고."
segment_audio\09_01_004289_210914_SD_seg006.wav,"아니면 다른 게 섞여 들어와서 지금 그럴 수도 있다는 생각이 갑자기 드네요. 아니면은 이렇게 이게 지금 혀마비의 일종인 것 같은데 혀가 마비되려면 사실은 외부적인 자극으로는 그게 마비된다는 게 있을 수 없다고 생각하거든요. 특히나 뭐 피곤하다고 해서 우리 혀가 잘 안 굴러가거나 이런 건 저도 느껴본 적이 없어서, 아마 지금 알러지의 일종인 것 같은데 이럴 때는 어떻게 해야 돼요? 무슨 약을 먹어야 되나요? 아니면 물을 자주 마신다던가. 그렇게 다. 이렇게."
segment_audio\09_01_004289_210914_SD_seg007.wav,어떤 방법이 있을까요?
segment_audio\09_01_004289_210914_SD_seg008.wav,저도 이렇게 혀가 마비가 됐는데 그것처럼 느껴진 거는 처음이라서 어떻게 해야 될지 잘 모르겠는데요. 원래는 보통 알러지가 나면은 알러지 약을 먹으면 그 웬만하면 금방 가라앉았어요. 그냥 토마토도 알러지가 그렇게 심한 건 아니고 그냥 컨디션 안 좋을 때 조금 간지러운 정도 그 정도에서 그쳐서 그렇게 심한 알러지도 아니고 해서 아무래도 올리브에서 알러지가 난 게 아닐까 하는 생각이 드는데 사실 잘 모르겠고요. 어쨌든 뭐 이런 상황에선 어떻게 해야 될지 모르겠는데.
segment_audio\09_01_004289_210914_SD_seg009.wav,지금 알러지 약을 먹기에도 다른 약을 먹고 있는 것도 있기도 하고 지금 알러지 약이 안 가지고 와서 없거든요. 그래서 뭐 어떻게 해결을 할 수 있을지도 모르겠고. 그러네요.
